Rootfinding methods for the equation 1_x=0
Newtons method
iteration	root		error
0		1.0707963268	1.070796e+00
1		2.1415926536	2.141593e+00
2		4.2831853072	4.283185e+00
3		8.5663706144	8.566371e+00
4		17.1327412287	1.713274e+01
5		34.2654824574	3.426548e+01
6		68.5309649149	6.853096e+01
7		137.0619298297	1.370619e+02
8		274.1238596595	2.741239e+02
9		548.2477193190	5.482477e+02
10		1096.4954386380	1.096495e+03
11		2192.9908772759	2.192991e+03
12		4385.9817545519	4.385982e+03
13		8771.9635091038	8.771964e+03
14		17543.9270182076	1.754393e+04
15		35087.8540364152	3.508785e+04
16		70175.7080728303	7.017571e+04
17		140351.4161456607	1.403514e+05
18		280702.8322913214	2.807028e+05
19		561405.6645826427	5.614057e+05
20		1122811.3291652855	1.122811e+06
21		2245622.6583305709	2.245623e+06
22		4491245.3166611418	4.491245e+06
23		8982490.6333222836	8.982491e+06
24		17964981.2666445673	1.796498e+07
25		35929962.5332891345	3.592996e+07
26		71859925.0665782690	7.185993e+07
27		143719850.1331565380	1.437199e+08
28		287439700.2663130760	2.874397e+08
29		574879400.5326261520	5.748794e+08
30		1149758801.0652523041	1.149759e+09
31		2299517602.1305046082	2.299518e+09
32		4599035204.2610092163	4.599035e+09
33		9198070408.5220184326	9.198070e+09
34		18396140817.0440368652	1.839614e+10
35		36792281634.0880737305	3.679228e+10
36		73584563268.1761474609	7.358456e+10
37		147169126536.3522949219	1.471691e+11
38		294338253072.7045898438	2.943383e+11
39		588676506145.4091796875	5.886765e+11
40		1177353012290.8183593750	1.177353e+12
41		2354706024581.6367187500	2.354706e+12
42		4709412049163.2734375000	4.709412e+12
43		9418824098326.5468750000	9.418824e+12
44		18837648196653.0937500000	1.883765e+13
45		37675296393306.1875000000	3.767530e+13
46		75350592786612.3750000000	7.535059e+13
47		150701185573224.7500000000	1.507012e+14
48		301402371146449.5000000000	3.014024e+14
49		602804742292899.0000000000	6.028047e+14
50		1205609484585798.0000000000	1.205609e+15
51		2411218969171596.0000000000	2.411219e+15
52		4822437938343192.0000000000	4.822438e+15
53		9644875876686384.0000000000	9.644876e+15
54		19289751753372768.0000000000	1.928975e+16
55		38579503506745536.0000000000	3.857950e+16
56		77159007013491072.0000000000	7.715901e+16
57		154318014026982144.0000000000	1.543180e+17
58		308636028053964288.0000000000	3.086360e+17
59		617272056107928576.0000000000	6.172721e+17
60		1234544112215857152.0000000000	1.234544e+18
61		2469088224431714304.0000000000	2.469088e+18
62		4938176448863428608.0000000000	4.938176e+18
63		9876352897726857216.0000000000	9.876353e+18
64		19752705795453714432.0000000000	1.975271e+19
65		39505411590907428864.0000000000	3.950541e+19
66		79010823181814857728.0000000000	7.901082e+19
67		158021646363629715456.0000000000	1.580216e+20
68		316043292727259430912.0000000000	3.160433e+20
69		632086585454518861824.0000000000	6.320866e+20
70		1264173170909037723648.0000000000	1.264173e+21
71		2528346341818075447296.0000000000	2.528346e+21
72		5056692683636150894592.0000000000	5.056693e+21
73		10113385367272301789184.0000000000	1.011339e+22
74		20226770734544603578368.0000000000	2.022677e+22
75		40453541469089207156736.0000000000	4.045354e+22
76		80907082938178414313472.0000000000	8.090708e+22
77		161814165876356828626944.0000000000	1.618142e+23
78		323628331752713657253888.0000000000	3.236283e+23
79		647256663505427314507776.0000000000	6.472567e+23
80		1294513327010854629015552.0000000000	1.294513e+24
81		2589026654021709258031104.0000000000	2.589027e+24
82		5178053308043418516062208.0000000000	5.178053e+24
83		10356106616086837032124416.0000000000	1.035611e+25
84		20712213232173674064248832.0000000000	2.071221e+25
85		41424426464347348128497664.0000000000	4.142443e+25
86		82848852928694696256995328.0000000000	8.284885e+25
87		165697705857389392513990656.0000000000	1.656977e+26
88		331395411714778785027981312.0000000000	3.313954e+26
89		662790823429557570055962624.0000000000	6.627908e+26
90		1325581646859115140111925248.0000000000	1.325582e+27
91		2651163293718230280223850496.0000000000	2.651163e+27
92		5302326587436460560447700992.0000000000	5.302327e+27
93		10604653174872921120895401984.0000000000	1.060465e+28
94		21209306349745842241790803968.0000000000	2.120931e+28
95		42418612699491684483581607936.0000000000	4.241861e+28
96		84837225398983368967163215872.0000000000	8.483723e+28
97		169674450797966737934326431744.0000000000	1.696745e+29
98		339348901595933475868652863488.0000000000	3.393489e+29
99		678697803191866951737305726976.0000000000	6.786978e+29
100		1357395606383733903474611453952.0000000000	1.357396e+30
