Rootfinding methods for the equation x^11=0
Newtons method
iteration	root		error
0		1.0707963268	1.070796e+00
1		0.9734512062	9.734512e-01
2		0.8849556420	8.849556e-01
3		0.8045051291	8.045051e-01
4		0.7313682992	7.313683e-01
5		0.6648802720	6.648803e-01
6		0.6044366109	6.044366e-01
7		0.5494878281	5.494878e-01
8		0.4995343892	4.995344e-01
9		0.4541221720	4.541222e-01
10		0.4128383381	4.128383e-01
11		0.3753075801	3.753076e-01
12		0.3411887092	3.411887e-01
13		0.3101715538	3.101716e-01
14		0.2819741398	2.819741e-01
15		0.2563401271	2.563401e-01
16		0.2330364792	2.330365e-01
17		0.2118513447	2.118513e-01
18		0.1925921316	1.925921e-01
19		0.1750837560	1.750838e-01
20		0.1591670509	1.591671e-01
21		0.1446973190	1.446973e-01
22		0.1315430173	1.315430e-01
23		0.1195845611	1.195846e-01
24		0.1087132374	1.087132e-01
25		0.0988302158	9.883022e-02
26		0.0898456508	8.984565e-02
27		0.0816778643	8.167786e-02
28		0.0742526039	7.425260e-02
29		0.0675023672	6.750237e-02
30		0.0613657884	6.136579e-02
31		0.0557870803	5.578708e-02
32		0.0507155276	5.071553e-02
33		0.0461050251	4.610503e-02
34		0.0419136592	4.191366e-02
35		0.0381033265	3.810333e-02
36		0.0346393877	3.463939e-02
37		0.0314903525	3.149035e-02
38		0.0286275932	2.862759e-02
39		0.0260250847	2.602508e-02
40		0.0236591679	2.365917e-02
41		0.0215083345	2.150833e-02
42		0.0195530313	1.955303e-02
43		0.0177754830	1.777548e-02
44		0.0161595300	1.615953e-02
45		0.0146904818	1.469048e-02
46		0.0133549835	1.335498e-02
47		0.0121408941	1.214089e-02
48		0.0110371764	1.103718e-02
49		0.0100337968	1.003380e-02
50		0.0091216334	9.121633e-03
51		0.0082923940	8.292394e-03
52		0.0075385400	7.538540e-03
53		0.0068532182	6.853218e-03
54		0.0062301984	6.230198e-03
55		0.0056638167	5.663817e-03
56		0.0051489243	5.148924e-03
57		0.0046808402	4.680840e-03
58		0.0042553093	4.255309e-03
59		0.0038684630	3.868463e-03
60		0.0035167846	3.516785e-03
61		0.0031970769	3.197077e-03
62		0.0029064335	2.906434e-03
63		0.0026422123	2.642212e-03
64		0.0024020112	2.402011e-03
65		0.0021836465	2.183647e-03
