Rootfinding methods for the equation xe^(-1_x^2)=0
Newtons method
iteration	root		error
0		1.0707963268	1.070796e+00
1		0.6806042728	6.806043e-01
2		0.5526129794	5.526130e-01
3		0.4794113894	4.794114e-01
4		0.4299971336	4.299971e-01
5		0.3936085118	3.936085e-01
6		0.3653101856	3.653102e-01
7		0.3424593249	3.424593e-01
8		0.3234901245	3.234901e-01
9		0.3074057546	3.074058e-01
10		0.2935364091	2.935364e-01
11		0.2814126426	2.814126e-01
12		0.2706940937	2.706941e-01
13		0.2611270145	2.611270e-01
14		0.2525177602	2.525178e-01
15		0.2447155886	2.447156e-01
16		0.2376011313	2.376011e-01
17		0.2310784456	2.310784e-01
18		0.2250694023	2.250694e-01
19		0.2195096363	2.195096e-01
20		0.2143455713	2.143456e-01
21		0.2095321952	2.095322e-01
22		0.2050313731	2.050314e-01
23		0.2008105498	2.008105e-01
24		0.1968417403	1.968417e-01
25		0.1931007350	1.931007e-01
26		0.1895664679	1.895665e-01
27		0.1862205094	1.862205e-01
28		0.1830466562	1.830467e-01
29		0.1800305966	1.800306e-01
30		0.1771596347	1.771596e-01
31		0.1744224635	1.744225e-01
32		0.1718089744	1.718090e-01
33		0.1693100993	1.693101e-01
34		0.1669176758	1.669177e-01
35		0.1646243345	1.646243e-01
36		0.1624234022	1.624234e-01
37		0.1603088198	1.603088e-01
38		0.1582750707	1.582751e-01
39		0.1563171208	1.563171e-01
40		0.1544303646	1.544304e-01
41		0.1526105797	1.526106e-01
42		0.1508538870	1.508539e-01
43		0.1491567152	1.491567e-01
44		0.1475157700	1.475158e-01
45		0.1459280074	1.459280e-01
46		0.1443906096	1.443906e-01
47		0.1429009636	1.429010e-01
48		0.1414566428	1.414566e-01
49		0.1400553899	1.400554e-01
50		0.1386951022	1.386951e-01
51		0.1373738181	1.373738e-01
52		0.1360897051	1.360897e-01
53		0.1348410495	1.348410e-01
54		0.1336262461	1.336262e-01
55		0.1324437897	1.324438e-01
56		0.1312922674	1.312923e-01
57		0.1301703513	1.301704e-01
58		0.1290767920	1.290768e-01
59		0.1280104129	1.280104e-01
60		0.1269701046	1.269701e-01
61		0.1259548201	1.259548e-01
62		0.1249635705	1.249636e-01
63		0.1239954208	1.239954e-01
64		0.1230494863	1.230495e-01
65		0.1221249287	1.221249e-01
66		0.1212209539	1.212210e-01
67		0.1203368081	1.203368e-01
68		0.1194717758	1.194718e-01
69		0.1186251773	1.186252e-01
70		0.1177963660	1.177964e-01
71		0.1169847269	1.169847e-01
72		0.1161896743	1.161897e-01
