Output for logistic map f(x)=ax(1-x) with a=0.99 and x0=0.8


iteration	value
0		0.800000
1		0.158400
2		0.131976
3		0.113413
4		0.099545
5		0.088739
6		0.080056
7		0.072911
8		0.066919
9		0.061816
10		0.057415
11		0.053577
12		0.050200
13		0.047203
14		0.044525
15		0.042117
16		0.039940
17		0.037961
18		0.036155
19		0.034499
20		0.032976
21		0.031570
22		0.030267
23		0.029058
24		0.027931
25		0.026880
26		0.025895
27		0.024973
28		0.024106
29		0.023289
30		0.022519
31		0.021792
32		0.021104
33		0.020452
34		0.019833
35		0.019246
36		0.018687
37		0.018154
38		0.017646
39		0.017161
40		0.016698
41		0.016255
42		0.015831
43		0.015425
44		0.015035
45		0.014661
46		0.014301
47		0.013956
48		0.013623
49		0.013303
50		0.012995
51		0.012698
52		0.012411
53		0.012135
54		0.011868
55		0.011610
56		0.011360
57		0.011119
58		0.010885
59		0.010659
60		0.010440
61		0.010228
62		0.010022
63		0.009822
64		0.009628
65		0.009440
66		0.009258
67		0.009080
68		0.008908
69		0.008740
70		0.008577
71		0.008419
72		0.008264
73		0.008114
74		0.007968
75		0.007825
76		0.007686
77		0.007551
78		0.007419
79		0.007290
80		0.007165
81		0.007042
82		0.006923
83		0.006806
84		0.006692
85		0.006581
86		0.006472
87		0.006366
88		0.006262
89		0.006161
90		0.006062
91		0.005965
92		0.005870
93		0.005777
94		0.005686
95		0.005597
96		0.005510
97		0.005425
98		0.005342
99		0.005260
100		0.005180
