Output for logistic map f(x)=ax(1-x) with a=1 and x0=0.5


iteration	value
0		0.500000
1		0.250000
2		0.187500
3		0.152344
4		0.129135
5		0.112459
6		0.099812
7		0.089850
8		0.081777
9		0.075089
10		0.069451
11		0.064627
12		0.060451
13		0.056796
14		0.053571
15		0.050701
16		0.048130
17		0.045814
18		0.043715
19		0.041804
20		0.040056
21		0.038452
22		0.036973
23		0.035606
24		0.034338
25		0.033159
26		0.032060
27		0.031032
28		0.030069
29		0.029165
30		0.028314
31		0.027513
32		0.026756
33		0.026040
34		0.025362
35		0.024718
36		0.024107
37		0.023526
38		0.022973
39		0.022445
40		0.021941
41		0.021460
42		0.020999
43		0.020558
44		0.020136
45		0.019730
46		0.019341
47		0.018967
48		0.018607
49		0.018261
50		0.017927
51		0.017606
52		0.017296
53		0.016997
54		0.016708
55		0.016429
56		0.016159
57		0.015898
58		0.015645
59		0.015400
60		0.015163
61		0.014933
62		0.014710
63		0.014494
64		0.014284
65		0.014080
66		0.013882
67		0.013689
68		0.013501
69		0.013319
70		0.013142
71		0.012969
72		0.012801
73		0.012637
74		0.012477
75		0.012322
76		0.012170
77		0.012022
78		0.011877
79		0.011736
80		0.011598
81		0.011464
82		0.011332
83		0.011204
84		0.011078
85		0.010956
86		0.010836
87		0.010718
88		0.010603
89		0.010491
90		0.010381
91		0.010273
92		0.010168
93		0.010064
94		0.009963
95		0.009864
96		0.009766
97		0.009671
98		0.009577
99		0.009486
100		0.009396
