Output for logistic map f(x)=ax(1-x) with a=3.1 and x0=0.1
Supressing the first 100 iterations


iteration	value
100		0.558014
101		0.764567
102		0.558014
103		0.764567
104		0.558014
105		0.764567
106		0.558014
107		0.764567
108		0.558014
109		0.764567
110		0.558014
111		0.764567
112		0.558014
113		0.764567
114		0.558014
115		0.764567
116		0.558014
117		0.764567
118		0.558014
119		0.764567
120		0.558014
121		0.764567
122		0.558014
123		0.764567
124		0.558014
125		0.764567
126		0.558014
127		0.764567
128		0.558014
129		0.764567
130		0.558014
131		0.764567
132		0.558014
133		0.764567
134		0.558014
135		0.764567
136		0.558014
137		0.764567
138		0.558014
139		0.764567
140		0.558014
141		0.764567
142		0.558014
143		0.764567
144		0.558014
145		0.764567
146		0.558014
147		0.764567
148		0.558014
149		0.764567
150		0.558014
151		0.764567
152		0.558014
153		0.764567
154		0.558014
155		0.764567
156		0.558014
157		0.764567
158		0.558014
159		0.764567
160		0.558014
161		0.764567
162		0.558014
163		0.764567
164		0.558014
165		0.764567
166		0.558014
167		0.764567
168		0.558014
169		0.764567
170		0.558014
171		0.764567
172		0.558014
173		0.764567
174		0.558014
175		0.764567
176		0.558014
177		0.764567
178		0.558014
179		0.764567
180		0.558014
181		0.764567
182		0.558014
183		0.764567
184		0.558014
185		0.764567
186		0.558014
187		0.764567
188		0.558014
189		0.764567
190		0.558014
191		0.764567
192		0.558014
193		0.764567
194		0.558014
195		0.764567
196		0.558014
197		0.764567
198		0.558014
199		0.764567
200		0.558014
