Output for logistic map f(x)=ax(1-x) with a=3.566 and x0=0.37507
Supressing the first 1000 iterations


iteration	value
1000		0.370818
1001		0.831990
1002		0.498464
1003		0.891492
1004		0.344955
1005		0.805777
1006		0.558081
1007		0.879470
1008		0.378004
1009		0.838427
1010		0.483076
1011		0.890479
1012		0.347779
1013		0.808872
1014		0.551297
1015		0.882116
1016		0.370818
1017		0.831990
1018		0.498464
1019		0.891492
1020		0.344955
1021		0.805777
1022		0.558081
1023		0.879470
1024		0.378004
1025		0.838427
1026		0.483076
1027		0.890479
1028		0.347779
1029		0.808872
1030		0.551297
1031		0.882116
1032		0.370818
1033		0.831990
1034		0.498464
1035		0.891492
1036		0.344955
1037		0.805777
1038		0.558081
1039		0.879470
1040		0.378004
1041		0.838427
1042		0.483076
1043		0.890479
1044		0.347779
1045		0.808872
1046		0.551297
1047		0.882116
1048		0.370818
1049		0.831990
1050		0.498464
1051		0.891492
1052		0.344955
1053		0.805777
1054		0.558081
1055		0.879470
1056		0.378004
1057		0.838427
1058		0.483076
1059		0.890479
1060		0.347779
1061		0.808872
1062		0.551297
1063		0.882116
1064		0.370818
1065		0.831990
1066		0.498464
1067		0.891492
1068		0.344955
1069		0.805777
1070		0.558081
1071		0.879470
1072		0.378004
1073		0.838427
1074		0.483076
1075		0.890479
1076		0.347779
1077		0.808872
1078		0.551297
1079		0.882116
1080		0.370818
1081		0.831990
1082		0.498464
1083		0.891492
1084		0.344955
1085		0.805777
1086		0.558081
1087		0.879470
1088		0.378004
1089		0.838427
1090		0.483076
1091		0.890479
1092		0.347779
1093		0.808872
1094		0.551297
1095		0.882116
1096		0.370818
1097		0.831990
1098		0.498464
1099		0.891492
1100		0.344955
