deviations of position from closure with epsilon=0.1
step size	Euler	RK2	RK4
0.0001		-2.597e-05	-7.028e-14	6.217e-15
0.0002		-5.194e-05	-5.241e-13	-1.144e-14
0.0004		-0.0001039	-4.153e-12	3.22e-15
0.0008		-0.0002079	-3.322e-11	-2.22e-16
0.0016		-0.0004163	-2.656e-10	-1.11e-15
0.0032		-0.0008346	-2.123e-09	1.776e-15
0.0064		-0.001676	-1.694e-08	3.852e-14
0.0128		-0.003379	-1.349e-07	1.238e-12
0.0256		-0.006892	-1.072e-06	3.974e-11
0.0512		-0.01422	-8.42e-06	1.271e-09
0.1024		-0.0307	-6.562e-05	4.102e-08
0.2048		-0.06787	-0.0004854	1.306e-06
0.4096		-0.1624	-0.003548	4.275e-05
0.8192		-0.1934	-0.02421	0.001281
1.638		-12.2	-0.3101	0.02791
