deviations of velocity from closure with epsilon=0.5
step size	Euler	RK2	RK4
0.0001		1.047e-08	-5.237e-09	-6.4e-13
0.0002		4.192e-08	-2.094e-08	2.196e-12
0.0004		1.678e-07	-8.378e-08	-3.078e-13
0.0008		6.719e-07	-3.351e-07	-2.713e-13
0.0016		2.694e-06	-1.34e-06	-4.34e-14
0.0032		1.083e-05	-5.363e-06	2.658e-12
0.0064		4.377e-05	-2.145e-05	4.399e-11
0.0128		0.0001786	-8.58e-05	7.029e-10
0.0256		0.0007448	-0.0003436	1.126e-08
0.0512		0.003227	-0.001375	1.801e-07
0.1024		0.0152	-0.005511	2.893e-06
0.2048		0.08184	-0.02203	4.584e-05
0.4096		0.5757	-0.08968	0.0007168
0.8192		3.517	-0.4058	0.009343
1.638		4.451	-2.052	0.02873
