deviations of position from closure with epsilon=0.9
step size	Euler	RK2	RK4
0.0001		-7.832e-05	-1.985e-13	1.11e-15
0.0002		-0.0001566	-1.57e-12	-2.22e-16
0.0004		-0.0003133	-1.253e-11	-1.776e-15
0.0008		-0.0006266	-1.002e-10	-1.332e-15
0.0016		-0.001253	-8.011e-10	3.331e-16
0.0032		-0.002508	-6.404e-09	3.331e-15
0.0064		-0.005017	-5.111e-08	1.177e-13
0.0128		-0.01004	-4.071e-07	3.739e-12
0.0256		-0.02015	-3.235e-06	1.199e-10
0.0512		-0.04025	-2.54e-05	3.835e-09
0.1024		-0.08107	-0.0001979	1.237e-07
0.2048		-0.1558	-0.001461	3.941e-06
0.4096		-0.2796	-0.01053	0.000129
0.8192		-0.3078	-0.06566	0.003886
1.638		-0.64	-0.384	0.09668
