Deviations in angle with epsilon=0.5
lambda	delta phi
1e-10		2.398e-09
2e-10		4.283e-09
4e-10		8.053e-09
8e-10		1.559e-08
1.6e-09		3.067e-08
3.2e-09		6.083e-08
6.4e-09		1.212e-07
1.28e-08		2.418e-07
2.56e-08		4.831e-07
5.12e-08		9.656e-07
1.024e-07		1.931e-06
2.048e-07		3.861e-06
4.096e-07		7.721e-06
8.192e-07		1.544e-05
1.638e-06		3.088e-05
3.277e-06		6.177e-05
6.554e-06		0.0001235
1.311e-05		0.0002471
2.621e-05		0.0004942
5.243e-05		0.0009887
0.0001049		0.001978
0.0002097		0.00396
0.0004194		0.007932
0.0008389		0.01592
0.001678		0.03204
0.003355		0.06496
0.006711		0.1335
0.01342		0.2831
0.02684		0.6458
0.05369		1.867
0.1074		nan
0.2147		nan
0.4295		nan
0.859		nan
1.718		nan
