Deviations in angle with epsilon=0
lambda	delta phi
1e-10		4.114e-06
2e-10		1.604e-06
4e-10		6.532e-08
8e-10		5.954e-08
1.6e-09		2.828e-07
3.2e-09		1.59e-08
6.4e-09		8.481e-08
1.28e-08		2.232e-07
2.56e-08		5.278e-07
5.12e-08		9.695e-07
1.024e-07		1.933e-06
2.048e-07		3.86e-06
4.096e-07		7.722e-06
8.192e-07		1.544e-05
1.638e-06		3.088e-05
3.277e-06		6.177e-05
6.554e-06		0.0001235
1.311e-05		0.0002471
2.621e-05		0.0004942
5.243e-05		0.0009886
0.0001049		0.001978
0.0002097		0.003959
0.0004194		0.007931
0.0008389		0.01591
0.001678		0.03203
0.003355		0.06489
0.006711		0.1333
0.01342		0.282
0.02684		0.6416
0.05369		1.869
0.1074		nan
0.2147		nan
0.4295		nan
0.859		nan
1.718		nan
