Successive iterations of the Poisson equation using stepsizes of 0.01


 Iteration	Error
0		1497.2
1		998.87
2		778.4
3		655.92
4		576.95
5		520.96
6		478.67
7		445.29
8		418.08
9		395.35
10		375.99
11		359.24
12		344.57
13		331.57
14		319.94
15		309.47
16		299.98
17		291.31
18		283.36
19		276.02
20		269.24
21		262.93
22		257.05
23		251.55
24		246.38
25		241.53
26		236.95
27		232.62
28		228.52
29		224.63
30		220.94
31		217.42
32		214.06
33		210.85
34		207.78
35		204.85
36		202.03
37		199.32
38		196.72
39		194.22
40		191.81
41		189.49
42		187.25
43		185.09
44		183
45		180.97
46		179.02
47		177.12
48		175.28
49		173.5
50		171.77
51		170.09
52		168.45
53		166.86
54		165.32
55		163.82
56		162.35
57		160.92
58		159.53
59		158.18
60		156.86
61		155.56
62		154.3
63		153.07
64		151.87
65		150.69
66		149.54
67		148.42
68		147.32
69		146.24
70		145.19
71		144.15
72		143.14
73		142.15
74		141.18
75		140.22
76		139.29
77		138.37
78		137.47
79		136.58
80		135.72
81		134.86
82		134.03
83		133.2
84		132.4
85		131.6
86		130.82
87		130.05
88		129.3
89		128.55
90		127.82
91		127.1
92		126.4
93		125.7
94		125.01
95		124.34
96		123.67
97		123.01
98		122.37
99		121.73
100		121.1
101		120.49
102		119.88
103		119.27
104		118.68
105		118.1
106		117.52
107		116.95
108		116.39
109		115.83
110		115.29
111		114.75
112		114.22
113		113.69
114		113.17
115		112.66
116		112.15
117		111.65
118		111.16
119		110.67
120		110.18
121		109.71
122		109.24
123		108.77
124		108.31
125		107.86
126		107.41
127		106.96
128		106.52
129		106.09
130		105.66
